Статус,Регистрационен №,Име на читалище,Област,Община,Град/село,Адрес,Булстат,Връзка към сайт библиотеки,Телефон,Факс,E-mail,Председател,Секретар
Действащо,2860,"""Просвещение -1897""",ВЕЛИКО ТЪРНОВО,,СЕЛО ГОРНА СТУДЕНА,"""Първа"",6,,п.к.5294",000124756,http://bibliobg.com/index.php?act=community&do=detail&hash=02f1aa1f23136458405d618547e53bf7dff18f66,"0885119975, 0888614090",-,Nchprosveshtenie1897@abv.bg,Лорета Андреева Костадинова,Йорданка Янкова
Действащо,2859,"""Възраждане-2001""",ХАСКОВО,,ГРАД ДИМИТРОВГРАД,"""Найден,Геров"",№2,А,,кв.""Раковски"",,п.к.6400",126611754,http://bibliobg.com/index.php?act=community&do=detail&hash=a6deef3369d66c77297dead8b195905033d80cce,,-,vazrajdane.dg@abv.bg,Галина Тенчева Панайотова,Моника Димитрова Демирева
Действащо,2858,"""Алекси Беремлиев -1926""",МОНТАНА,,СЕЛО ЯКИМОВО,"""Девети,септември"",1,,п.к.3640",000313283,http://bibliobg.com/index.php?act=community&do=detail&hash=4cc6c0005bb06c42c61aa57c0ca64edeb2ed6e44,"09742, 213, 0877394665",-,vesa_savova@abv.bg,Илия Крумов Йорданов,Първолетка Стефанова Ценкова
Действащо,2868,"""Възраждане -1969""",ТЪРГОВИЩЕ,,СЕЛО ПЪРВАН,"""Васил,Левски"",2,А,,п.к.7958",000869294,http://bibliobg.com/index.php?act=community&do=detail&hash=e3fcd92506924dc7b34924d9550c0d6204b8781d,0889887801,-,nc_parvan@abv.bg,Селим Мустафов Алиев,Лейля Мехмедова Сюлейманова
Действащо,2856,"""Саморазвитие -1924 г.""",ПЛОВДИВ,,СЕЛО БРЕСТНИК,"""Независимост"",18,,п.к.4107",000456986,http://bibliobg.com/index.php?act=community&do=detail&hash=f3c05ecdf75c8afee67bc6795ae15c4fad3f0af1,"0886644935, 0894720566, 0895752873",-,samorazvitie@abv.bg,Георги Николов Трайков,Христо Дончев Дончев
Действащо,2857,"""Иван Вазов 1911""",МОНТАНА,,СЕЛО БЪРЗИЯ,"""Васил,Левски"",15,,п.к.3520",000312893,http://bibliobg.com/index.php?act=community&do=detail&hash=c15cf43336aea891d89347ecfe74d4809d0ada15,"09523, 2388, 0895906976",-,chitalishte_barzia@abv.bg,Иванка Георгиева Митова,Галя Горкова Поплалова
Действащо,2854,"""Съзнание -1928""",ХАСКОВО,,СЕЛО ГОЛЯМО АСЕНОВО,"п.к.,6424",126573727,http://bibliobg.com/index.php?act=community&do=detail&hash=48483664e4facac45d1e08faaf0a4172ef4a59f7,"0893464672, 0876234754",-,saznanie_1928@abv.bg,Иван Стоянов Стоянов,Иванка Петрова Андреева
Действащо,2853,Просвета-1920г.,ЛОВЕЧ,,ГРАД ТРОЯН,"""Васил,Левски"",386,кв.,Велчевски,,п.к.5600",110550327,http://bibliobg.com/index.php?act=community&do=detail&hash=f2b6d2ac3810d59f968ab18c160ae1bf74a9d318,0879618107,-,anelia.ct@abv.bg,Анелия Николаева Стоева,Милен Съев Петков
Действащо,2852,"""Рудничар-1997""",ПЕРНИК,,ГРАД ПЕРНИК,"ул.,""Първа"",20,,кв.,""Рудничар"",,п.к.,2300",113035251,http://bibliobg.com/index.php?act=community&do=detail&hash=0c1c4b0a6e742511897972340e5d74ee37466ce3,0893878395,няма,itanarsov@abv.bg,Валентин Лазаров Тодоров,Васил Стоянов Арсов
Действащо,2855,"""Васил Левски 1927""",ВАРНА,,СЕЛО ИЗВОРСКО,"""Хан,Аспарух"",18,,п.к.9154",000084009,http://bibliobg.com/index.php?act=community&do=detail&hash=f6d5d4678b348d2718ab720e8a7e456b78647f20,"0876231737, 0899993364, 0877659510",-,nchvasillevskiizvorsko_@mail.bg,Веселина Панчева Василева,Виолета Тодорова Василева
Действащо,2841,"""Събуждане -1927""",ХАСКОВО,,СЕЛО РАДИЕВО,"""Димитровградска"",15,,п.к.,6427",000894319,http://bibliobg.com/index.php?act=community&do=detail&hash=192372521aa2d2d58ab81bb77b93f2a90c91debb,0893464689,-,radievo_sabujdane@abv.bg,Румен Вълчев Димов,Тотка Стефанова Григорова
Действащо,2851,"""Възраждане-1936""",ШУМЕН,,СЕЛО ЗВЕГОР,"""Марица"",2,,п.к.9791",000924374,http://bibliobg.com/index.php?act=community&do=detail&hash=09a81a328093651203d6caa2ce6a939f2e1b3205,089333964,-,eminem1959@abv.bg,Айше Мустафа Молла,Емине Баки Хюсеин
Действащо,2836,Рома-2001г.,ПЕРНИК,,ГРАД ПЕРНИК,"""Радомир"",бл.,1,,ет.4,п.к.2300",113519957,http://bibliobg.com/index.php?act=community&do=detail&hash=4f6e3bfad4d95380721f5b2654e72598c6cb3aa1,,няма,4itali6te_roma@mail.bg,Исай Стоянов Йосифов,няма
Действащо,2837,"""Дъга-2001""",БЛАГОЕВГРАД,,ГРАД ПЕТРИЧ,"""Цар,Борис,ІІІ"",20",101573469,http://bibliobg.com/index.php?act=community&do=detail&hash=6cba0ba84797c5783d6ccdb1e2d51ea204fdb47f,,-,chano123@abv.bg,Иван Бориславов Цветков,Росен Костадинов Кирков
Действащо,2835,"""Светлина-1927""",ТЪРГОВИЩЕ,,СЕЛО ЗЕЛЕНА МОРАВА,"""Стара,планина"",15,п.к.7954",000868616,http://bibliobg.com/index.php?act=community&do=detail&hash=f5348dc3c91018fe42440390dd30f2926ec0303e,"0876307576, 0878787479",-,svetlina_zm@abv.bg,Хасан Салимов Мустафов,Фатме Мустафова Джелилова
Действащо,2833,"""Бъдеще-1928""",ГАБРОВО,,ГРАД ГАБРОВО,"""Черни,връх"",8,,кв.,Любово;,п.к.5300",000210447,http://bibliobg.com/index.php?act=community&do=detail&hash=de45ea35e56596b530c9f57ce0e37dbf4e42dbc1,0899807434,-,chitalishte_budeshte@abv.bg,Румяна Иванова Радева,Галя Христова Кръстева
Действащо,2834,"""Г. С. Раковски-1928""",СОФИЯ,,СЕЛО ДРАГОВИЩИЦА,"""Първа"",85,,п.к.2259",000761991,http://bibliobg.com/index.php?act=community&do=detail&hash=b14fda64f080cac66bdb295a4396eb46d7b1d35c,"07118, 330, 0886332181",-,rakovski_dr@abv.bg,Розалина Димитрова Виденова,Диана Михайлова
Действащо,2832,"""Христо Ботев 1969""",СМОЛЯН,,СЕЛО ОГЛЕД,п.к.4972,000608935,http://bibliobg.com/index.php?act=community&do=detail&hash=f68ec0b3bd2adc1f00157dcb5cd0b3918370bdc4,,-,n.ch.h.botev1969@abv.bg,Федя Векилов Ортакчиев,Анифе Шукриева Карлийска
Действащо,2829,"""Иван Вазов -1999""",СМОЛЯН,,ГРАД МАДАН,"""Обединение"",7,,п.к.4900",120070975,http://bibliobg.com/index.php?act=community&do=detail&hash=c9fb09bb8cd43bb8587fca4fac1a4f0507e4a17f,"0308, 22564, 0895537479",-,n4_madan@abv.bg,Филип Атанасов Чукаров,Роза Атанасова Балиева
Действащо,2831,"""Просвета -1928""",ЯМБОЛ,,СЕЛО ВОДЕНИЧАНЕ,"""Георги,Димитров"",11,,п.к.8693",000963832,http://bibliobg.com/index.php?act=community&do=detail&hash=951e108d81d9029c93a004ec8fea6a68b15deff7,0877898111,-,prosveta1928vodenichane@mail.bg,Виолета Костадинова Мирчева,Пенка Маринова Георгиева
Действащо,2828,"""Пробуда 1899 г.""",ВАРНА,,СЕЛО КРИВНЯ,"п.к.,9217",000085118,http://bibliobg.com/index.php?act=community&do=detail&hash=0088e37770f07257c5f276850d714d93205c40da,"0878849369, 0897580766",-,probudakrivnya@abv.bg,Дора Радева Кирякова,Красимира Иванова Костадинова
Действащо,2830,"""Самообразование 1929""",ВАРНА,,СЕЛО ВЕНЧАН,п.к.9219,000084856,http://bibliobg.com/index.php?act=community&do=detail&hash=4fd06e16a1fa735dd981beb9419560a9e16a42c9,0878421369,-,chitalichevenchan@abv.bg,Димитър Станков Димитров,Мариана Йорданова Попова
Действащо,2827,"""Христо Ботев-1927""",ПАЗАРДЖИК,,СЕЛО ЛЕВСКИ,"пл.""Калагларска,комуна"",1,,п.к.4535",112077596,http://bibliobg.com/index.php?act=community&do=detail&hash=33c736c0d80cb1240852ee7ad2afef838414a03e,"03535, 2328",-,svetlana34@abv.bg,Петруна Тодорова Грозданова,Светлана Иванова Караджова
Действащо,2826,"""Антим І -1937""",ПЛОВДИВ,,ГРАД ПЛОВДИВ,"бул.""Свобода"",6,,п.к.4002",000455731,http://bibliobg.com/index.php?act=community&do=detail&hash=5ca4200f365caf909bf8445aa2d3dee63789a37a,"032, 644170, 0878640594",-,antim1_chit@abv.bg,Димитър Ангелов Александров,Павлина Илиева Гоцева
Действащо,2824,"""Възраждане 1911""",СОФИЯ,,СЕЛО ДОГАНОВО,"""Първа"",22,,п.к.2115",000762292,http://bibliobg.com/index.php?act=community&do=detail&hash=8080b4a413fa89ac846d3a00df10753a721bb93e,"0877, 770304, 0878537153",-,chitalishte_doganovo@abv.bg,Кремена Радотинова Йовева,Светла Симеонова Евстатиева
Действащо,2825,"""Просвета 1928""",ВИДИН,,СЕЛО ГОМОТАРЦИ,"""Шеста"",1,п.к.3772",000153238,http://bibliobg.com/index.php?act=community&do=detail&hash=190fb8abc89109415952a446f7f0290cda984b67,0897993918,-,chitalishte_gomotartsi1928@abv.bg,Лиляна Данаилова Колева,Искра Макариева Пантева
Действащо,2821,"""Светлина -1872""",СЛИВЕН,,СЕЛО КОРТЕН,"""Петко,Енев"",40,,п.к.8930",119022143,http://bibliobg.com/index.php?act=community&do=detail&hash=a7dee2dc9a3a34873f8f272c8a0e32e8f4b6a53c,0988940083,,stankula_69@abv.bg,Иван Георгиев Иванов,Станка Иванова Кръстева
Действащо,2823,"""Пробуда - 1931""",ВРАЦА,,ГРАД ВРАЦА,"кв.,Бистрец,,п.к.3003",000184178,http://bibliobg.com/index.php?act=community&do=detail&hash=3dd98215613d480680b5478106056e18901e0b3a,"0879, 548797",,probuda_1931@abv.bg,Дора Ангелова Младенова,Десислава Христова Иванова
Действащо,2822,"""Светлина 2000""",СЛИВЕН,,СЕЛО КОРТЕН,"""Петко,Енев"",40,,п.к.8930",119500376,http://bibliobg.com/index.php?act=community&do=detail&hash=d0fb3a90400eaff410e939e56db73fa100c626da,"04522, 2078, 2641, 0893464366",-,svetlina2000_korten@abv.bg,Мадлена Петкова Камбурова,Милена Петрова Лисичкова
Действащо,2819,"""Самообразование-1919""",РУСЕ,,СЕЛО ЕКЗАРХ ЙОСИФ,"""Николаевска"",3,,п.к.7171",000523449,http://bibliobg.com/index.php?act=community&do=detail&hash=fa8f447fa5874a38a6ffd448e5d3d1cb5f687052,"08143, 2298",-,nar.chi1919@abv.bg,Йорданка Атанасова Вечева,Лиляна Кръстева
Действащо,2820,"""Христо Ботев-2000""",СМОЛЯН,,ГРАД РУДОЗЕМ,"бул.""България""13,,п.к.4960",120525693,http://bibliobg.com/index.php?act=community&do=detail&hash=d3069ab6cbe8909fce88ea09b26c8ed1fc302427,0898858596,-,n4.hr.botev.rm@abv.bg,Свилен Асенов Терзиев,Нели Миткова Хаджиева
Действащо,2816,"""Напредък - 2001""",СЛИВЕН,,ГРАД НОВА ЗАГОРА,"""Петко,Енев"",50,,п.к.8900",119547422,http://bibliobg.com/index.php?act=community&do=detail&hash=98c37849bbd1e97c0444231222039568137bb4c0,"0457, 22280, 0882517235",-,"chitalishte_napredak@abv.bg, nzchitalishta@abv.bg",Желязко Милев,Полина Пенева
Действащо,2817,"""Възраждане 2001""",КЮСТЕНДИЛ,,СЕЛО БАРАКОВО,"""Н.,Парапунов""4,,п.к.2634",109525744,http://bibliobg.com/index.php?act=community&do=detail&hash=4f2dd097a14da9e1baae98c2cfad2eb814b93ba7,"0885, 173418",-,chitalishte_barakovo@abv.bg,Райна Костадинова Стойчева,Лалка Асенова Иванова
Действащо,2818,"""Отец Паисий -1910""",ПЛЕВЕН,,СЕЛО ОРЕХОВИЦА,"пл.,""Възраждане"",5,,п.к.,5859",000404701,http://bibliobg.com/index.php?act=community&do=detail&hash=26efeed3fd78a1001f00b67232b7a2784681d716,0895778533,-,nch1910@mail.bg,Йонка Йорданова Макавеева,Станислава Георгиева Николова
Действащо,2812,Черноризец храбър,СОФИЯ-ГРАД,,ГРАД СОФИЯ,"гр.,София,,ж.к.,""Мусагеница"",,до,бл.,82",130451145,http://bibliobg.com/index.php?act=community&do=detail&hash=82f5f09b2c3623e76cacaacf754c141c0ee135ea,"02, 442, 33, 52",,,"Детелин михайлов Дачев, Красимир Николов Генчев",Красимир Николов Генчев
Действащо,2815,"""Бъдеще - 1927""",ВРАЦА,,СЕЛО ГРАДЕШНИЦА,"""Мир"",44,,п.к.3074",000184447,http://bibliobg.com/index.php?act=community&do=detail&hash=b49d7af5c81686a9ddb4a7690ed4e8f0ef190112,"091186, 500, 200",-,budeshte_gradeshnica_1927@abv.bg,Мара Георгиева Цекова,Аделина Иванова Ангелова
Действащо,2814,"""Пробуда-1951 г. - с. Пашови""",ПАЗАРДЖИК,,СЕЛО ПАШОВИ,"""Кирил,и,Методий"",1,,п.к.4632",112082294,http://bibliobg.com/index.php?act=community&do=detail&hash=d9af257269a419064665f44b1234b08d41d4cac1,"0894, 30, 79, 80",не,m.mastev@abv.bg,Злати Альошов Льотин,Муса Али Мастев
Закрито,2811,Съзнание,ЯМБОЛ,,СЕЛО НЕДЯЛСКО,,,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,2004 г.,
Действащо,2813,"""Пробуда-1934""",МОНТАНА,,СЕЛО ПОРТИТОВЦИ,"""Първа"",38,,п.к.3432",000313899,http://bibliobg.com/index.php?act=community&do=detail&hash=fe06824fd6b484cb06680645de335630702f354c,0899016404,-,probuda2_1934@abv.bg,Федя Георгиев Фердинандов,Силвия Стоилова Маринова
Действащо,2755,"""Възраждане 1999""",ВАРНА,,ГРАД ВАРНА,"""Габрово"",14,,район,Одесос,,п.к.9008",103504533,http://bibliobg.com/index.php?act=community&do=detail&hash=563538f19dfa0149b4a82d22f2f6423efe2daa8e,"052, 614343",-,vazrajdane99@abv.bg,Неждет Мустафа Ахмед,Галина Тодорова Господинова
Действащо,2751,"""Стоянка Соколова -1999""",СОФИЯ-ГРАД,,ГРАД СОФИЯ,"""Суходолска"",№,99,;,р-н,Красна,поляна,,п.к.1375",130171951,http://bibliobg.com/index.php?act=community&do=detail&hash=dda0030ccbec43491b0fae01621ac4fe19dca890,"02, 929, 50, 73",-,nevo_drom@mail.bg,Валентин Симеонов Благоев,Екатерина Павлова Христова
Действащо,2753,"""Пробуда -1926 - Голямо Пещене""",ВРАЦА,,СЕЛО ГОЛЯМО ПЕЩЕНЕ,"""Георги,Димитров"",1,,п.к.3058",106063097,http://bibliobg.com/index.php?act=community&do=detail&hash=e1b77d0bb68fb232579e4fa4ce57ed6164a42d0a,"09180, 2226, 0879213277",-,mariana.cekova55@abv.bg,Вергиния Недкова Докева,Мариана Василева Цекова
Действащо,2690,"""Отец Паисий-1927""",СТАРА ЗАГОРА,,СЕЛО НАЙДЕНОВО,"п.к.,6224",000805427,http://bibliobg.com/index.php?act=community&do=detail&hash=83cd2a3def864721e4008d89bd6696e3d36aa4da,,-,nc_op_naidenovo@abv.bg,Пенка Пенева Христова,Георги Стойнов Желев
Действащо,2758,"""Просвета -1924""",ШУМЕН,,СЕЛО СТАН,"""Васил,Коларов"",28,,п.к.9917",000924157,http://bibliobg.com/index.php?act=community&do=detail&hash=f66d18037d3da3cb87734caa45ecdc6f0cc54ae0,0894729408,-,ani_dobreva1979@abv.bg,Христина Димитрова Найденова,Анелия Петрова Добрева
Действащо,2754,"""Димитър Благоев 1925""",БЛАГОЕВГРАД,,ГРАД ДОБРИНИЩЕ,"пл.""Независимост"",2,,п.к.,2777,",101543719,http://bibliobg.com/index.php?act=community&do=detail&hash=8e0a2bbf009e51ce2f87e27ca249a284a07485a0,0896060588,-,chitalishtedobrinishte@mail.bg,Петър Юриев Друнчилов,Ани Малинова Парапунова
Действащо,2752,"""Развитие-1904""",ТЪРГОВИЩЕ,,ГРАД ТЪРГОВИЩЕ,"""Ал.Стамболийски"",108,,кв.Въбел,,п.к.7700",125500217,http://bibliobg.com/index.php?act=community&do=detail&hash=501570dcc7b3067ffd57e40c117c9ff5c3085c44,"0601, 64934",-,chitalishte_vybel@mail.bg,Светла Иванова Манолова,Христина Цветелинова Георгиева
Действащо,2750,Светлина,ТЪРГОВИЩЕ,,СЕЛО РАЗБОЙНА,,,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,Мехмед Ереджеб Азиз,
Действащо,2749,"""Съзнание 1920 г.""",СОФИЯ,,СЕЛО РАШКОВО,п.к.2152,000762335,http://bibliobg.com/index.php?act=community&do=detail&hash=886e8ee98170706c752b9f654c03ff15e767e94e,"071306, 320, 327",-,saznanie1920@abv.bg,Лила Павлова,Радка Петрова Николова
Действащо,2745,"""Ромска звезда - Романи черхен-2000г.""",СОФИЯ-ГРАД,,ГРАД СОФИЯ,"бул.,""Възкресение"",№,151,;,район,""Красна,поляна"",,п.к.1373",130345430,http://bibliobg.com/index.php?act=community&do=detail&hash=bedc9f9df25825d6aa3069ad17d78e08c289aea1,"0889413505, 0879694268",-,dimitar.manev@abv.bg,Димитър Манев Димитров,-
Действащо,2748,"""Бъдеще -1926""",ВРАЦА,,СЕЛО БЕЛИ ИЗВОР,"""Дунав"",8,,п.к.3040",106513676,http://bibliobg.com/index.php?act=community&do=detail&hash=df6eeb29078be49d5d8916c3d840aaf125feaa4d,0886995772,-,chitbeliizvor@abv.bg,Десислава Любомирова Григорова,Ива Тодорова Григорова
Действащо,2747,"""Нов живот-1956""",СМОЛЯН,,СЕЛО БУЙНОВО,п.к.4812,000609407,http://bibliobg.com/index.php?act=community&do=detail&hash=8b268095a0f1e914c23675438f552a9bf2a7b6d3,0878439727,-,chitalishte.novjivot1956@abv.bg,Захаринка Стойкова Хаджиева,Влади Антонов Бождаров
Действащо,2746,"""Свети Георги Победоносец-1999""",СОФИЯ-ГРАД,,ГРАД СОФИЯ,"""Калина,Малина"",6,,район,Слатина,,п.к.1111",130258979,http://bibliobg.com/index.php?act=community&do=detail&hash=c90a57a72416462e446fc5dc62d587d3c0732ec6,0882404535,,svgp1999@abv.bg,Даниела Христова Козовска,Даниела Савова Николова
Действащо,2756,"""Тодор Каблешков-1918г.""",ЛОВЕЧ,,СЕЛО БЕЛЕНЦИ,"""Главна"",25,,п.к.5783",110508464,http://bibliobg.com/index.php?act=community&do=detail&hash=19c91b08f67c08440fc92711a2fce714a6450b95,"06980, 2327, 0897648467",-,chitalishte_belenci@abv.bg,Ренета Асенова Бочева,Емил Богомилов Евлогиев
Действащо,2743,Възраждане,ПЛЕВЕН,,ГРАД ПЛЕВЕН,,,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,Мишел Кременов Станев,
Действащо,2742,"""Надежда-1904""",ВЕЛИКО ТЪРНОВО,,СЕЛО ТОДЮВЦИ,"""Тодювци"",12;,п.к.,5094",000124447,http://bibliobg.com/index.php?act=community&do=detail&hash=badd0f6f1606cabd4577cc1e50eaeac24fccabd7,"0879, 101, 359",-,nadezda.todjuwcy@gmail.com,Росица Недялкова Стефанова,Марияна Иванова Иванова
Действащо,2741,Светлина,ПЛЕВЕН,,ГРАД ЧЕРВЕН БРЯГ,"ул.,”В.,Априлов”,№,2",114509688,http://bibliobg.com/index.php?act=community&do=detail&hash=98da1db6638f81a40b6e0bdd6984e10f20d6b58a,"0659, 928, 75",-,svetlina99@mail.bg,Тихомир Константинов Георгиев,Нина Коцева
Закрито,2739,"Отец Паисий закрито от ХОС с реш № 921 / 2005 г. по ф.д. 192/2005 г. - влива се в новосъздаденото в селото читалище - ""Отец Паисий Хилендарски""",ХАСКОВО,,СЕЛО ДЛЪГНЕВО,,,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,Иван Славчев Костов,
Действащо,2740,"""Просвета-1927 г.""",МОНТАНА,,СЕЛО ГОРНА ВЕРЕНИЦА,"""Витоша"",2",000314022,http://bibliobg.com/index.php?act=community&do=detail&hash=c3041548993b525321d253afe5578a57942de139,0896586392,-,ch_gverenica@abv.bg,Здравко Митков Леков,Йорданка Миткова Йорданова
Действащо,2738,"""Пробуда-1927""",ШУМЕН,,СЕЛО РАДКО ДИМИТРИЕВО,"""Ген.Радко,Димитриев"",12,А,,,п.к.,9808",127059270,http://bibliobg.com/index.php?act=community&do=detail&hash=d799baa2e2bdc94644341782230257999497c8d0,0896825576,-,probuda_r.dimitrievo@abv.bg,Янка Минчева Маринова,Кателина Недялкова Алексиева
Действащо,2737,"""Димитър Полянов -1927""",ПЕРНИК,,СЕЛО РАСНИК,"п.к.,2357",113570108,http://bibliobg.com/index.php?act=community&do=detail&hash=da145ade26d51dccd5324bf809c2551350922c09,0883380039,няма,denisisaev99@gmail.com,Денис Богданов Исаев,Асен Захариев Антонов
Действащо,2744,Проф.д-р Асен Златаров-1924,БЛАГОЕВГРАД,,СЕЛО ХЪРСОВО,п.к.2819,101515004,http://bibliobg.com/index.php?act=community&do=detail&hash=8095b0da1a9869d883e7357e7803e6b85a5dbe54,,-,chitalishtehursovo@abv.bg,Атанас Димитров Георгиев,Венера Методиева Ризова
Действащо,2736,Просвета-1927,СОФИЯ-ГРАД,,ГРАД СОФИЯ,"р-н,""Овча,купел"";,кв.,Суходол,,ул.""Траян,Танев"",№,32",000672254,http://bibliobg.com/index.php?act=community&do=detail&hash=9f298e0c3e4104f5d119f5697376b369565e7cef,,-,prosveta_suhodol@abv.bg,Михаил Светославов Георгиев,Миглена Климентова Цветанова
Действащо,2734,"""Светлина-1904""",ВАРНА,,СЕЛО БЕЛОГРАДЕЦ,"”Дунав”,2,,п.к.9230",000084030,http://bibliobg.com/index.php?act=community&do=detail&hash=9dd106d4fc09b49a1366cc2f82de81c0c073af2c,"0899001820, 0892484524, 0886764674",-,svetlina1904@abv.bg,Павлинка Александрова Петкова,-
Действащо,2735,"""Пробуда-1927г. с. Христо Даново""",ПЛОВДИВ,,СЕЛО ХРИСТО ДАНОВО,"”Първа„,24,,п.к.4339",000457675,http://bibliobg.com/index.php?act=community&do=detail&hash=f4ed6c38e3eb6ef6f8551c1d219dfa84e7d9caf2,0988867339,,elena_Shalamanova7@abv.bg,Севдалин Иванов Янков,Елена Иванова Семкова
Действащо,2733,"""Просвета 1926""",ХАСКОВО,,СЕЛО КРУМ,п.к.6438,000894205,http://bibliobg.com/index.php?act=community&do=detail&hash=71adb0cadaf99308ac330f146bace6ebd34f7d59,"03925, 315, 0893, 464652, 0893464663",-,prosveta1926@abv.bg,Недка Димова Иванова,Минка Иванова Илева
Действащо,2732,"""Развитие 1902""",ВЕЛИКО ТЪРНОВО,,СЕЛО МЕРДАНЯ,"пл.""Свобода"",14,п.к.,5147",104074885,http://bibliobg.com/index.php?act=community&do=detail&hash=636d8c4662df38338b587e2cbe96294f5ca8b8ff,0887381979,-,chitali6te_merdania@abv.bg,Христо Ангелов Сеизов,Красимира Стефанова Колева
Действащо,2730,"""П.Р.Славейков -1903""",ВЕЛИКО ТЪРНОВО,,СЕЛО ДОБРИ ДЯЛ,"пл.""Възраждане"",1,,п.к.5149",104077027,http://bibliobg.com/index.php?act=community&do=detail&hash=592c6884754cd058a35ea802026264075f2af565,0884992524,-,p.c.slaveykov1903@abv.bg,Иванка Николова Костова,Велислава Логвинова
Действащо,2810,"""Зора-1939""",ПЛЕВЕН,,СЕЛО ЧЕРКОВИЦА,"""Христо,Ботев"",1,,п.к.5951",114091032,http://bibliobg.com/index.php?act=community&do=detail&hash=450d839ff9f53ff5e2fa0525862d2dbb0e3e9e1c,"06541, 3081, 0888007702, 0884317629",-,zora1939@abv.bg,Емил Асенов Цеков,Снежина Георгиева Параскевова
Действащо,2809,"""Просвета -1926 г. с.Бачково""",ПЛОВДИВ,,СЕЛО БАЧКОВО,"""Александър,Стамболийски"",14,,п.к.4251",000456071,http://bibliobg.com/index.php?act=community&do=detail&hash=c958aab9cc26cf4637a47b0db0a97eb0a4eac610,0876006639,-,prosvetabachkovo@abv.bg,Николина Костадинова Лазарова,Диляна Георгиева Рачева
Действащо,2807,"""Христо Ботев-1939""",МОНТАНА,,СЕЛО МЕЛЯНЕ,п.к.3472,111518290,http://bibliobg.com/index.php?act=community&do=detail&hash=8ffb132822d5e4e80fba12395c94964a67f37c6a,"0884727666, 0879505465",-,nch_xbotev1939@abv.bg,Десислава Цветанова Рангелова,Мариана Цветанова Маркова
Действащо,2808,"""Братолюбие -1884""",ХАСКОВО,,ГРАД ЛЮБИМЕЦ,"пл.""Трети,март"",1,,п.к.,6550,",000893847,http://bibliobg.com/index.php?act=community&do=detail&hash=4821d58a89891d9df23fc9fe6359dd2f8f9701be,"0888, 810117, 03751, 9800, 9830",-,bratolubie@abv.bg,Христинка Георгиева Видева,Евгения Атанасова Стоянова
Действащо,2806,"""Мито Марков -1912 г.""",ВИДИН,,СЕЛО МАКРЕШ,"""Георги,Бенковски"",104,А,,п.к.3850",105026879,http://bibliobg.com/index.php?act=community&do=detail&hash=f4559c0666971ade9bdbd01712332bb59303dfe8,"09339, 278, 0879639014",-,macros_chit@abv.bg,Бориска Георгиева Борисова,Ирена Иванова Йотова
Действащо,2805,"""Св. Иван Рилски -1928""",КЮСТЕНДИЛ,,СЕЛО ПАСТРА,"п.к.,2631",000254290,http://bibliobg.com/index.php?act=community&do=detail&hash=523b6ffad669263bc5b544622a5196f2edabf2a9,0887057897,-,biblioteka1928_pastra@abv.bg,Росица Иванова Данаилова,Мима Стоянова Милчева
Действащо,2804,"""Просвета 1922""",ВЕЛИКО ТЪРНОВО,,СЕЛО МОМИН СБОР,п.к.5067,104113199,http://bibliobg.com/index.php?act=community&do=detail&hash=d32e51f6ec2d0f2b178137c1e90d8ccc0018fb2b,0887884243,-,zlatka.deneva@abv.bg,Златка Юрий Денева,Савка Ганева Паничкова
Действащо,2802,"""Светлина село Орешец""",ХАСКОВО,,СЕЛО ОРЕШЕЦ,"п.к.,6475",175679744,http://bibliobg.com/index.php?act=community&do=detail&hash=a48cd00b5cace7f04624e37d81e72bd5861abd4d,"037692223, 0885, 293448",-,oreshec_1914@abv.bg,Никола Паскалев Чанков,Петя Костадинова
Действащо,2803,"""АРАРАТ-2001""",ХАСКОВО,,ГРАД ХАСКОВО,"""Добруджа""11,,п.к.,6300",126611686,http://bibliobg.com/index.php?act=community&do=detail&hash=ecfb1d1ceeb7b58b1f92f9b1a51ba0246a6e1ee0,"0879140233, 0882, 513, 876",-,ararathaskovo@abv.bg,Мари Артин Пандулева,Нора Арам Дерандонян
Действащо,2801,"""Никола Йонков Вапцаров-1907""",МОНТАНА,,СЕЛО РАЗГРАД,п.к.3633,000313002,http://bibliobg.com/index.php?act=community&do=detail&hash=6427e5411735a417e2723ecb3509d69b0828f6a9,"0895, 468939",-,chitrg_1907@abv.bg,Марийка Горанова Илиева,Румяна Каваленова Ефремова
Действащо,2797,"""Надежда -1906""",ВИДИН,,СЕЛО РАКОВИЦА,"""Четвърта"",9,,п.к.3820",105031926,http://bibliobg.com/index.php?act=community&do=detail&hash=f8740308bbf542a814e0f9f6db26340688e8d5aa,"0886310957, 0898469910",-,chit_nadejda@abv.bg,Пролетка Тодорова Андреева,Радка Георгиева Целова
Действащо,2798,Добри Чинтулов,СОФИЯ-ГРАД,,ГРАД СОФИЯ,"район,Искър;,ж.к.,""Дружба,2""",,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,d_chintulov@abv.bg,Д. Друмев,Д. Петкова
