Номер,Линк,Име на читалище,Град/село,Община,Област
1478,?act=community&do=detail&id=1319&reg_num=1478,Развитие-1928,ГРАД ТВЪРДИЦА,ТВЪРДИЦА,СЛИВЕН
1479,?act=community&do=detail&id=1320&reg_num=1479,Съгласие-1862,ГРАД ЯМБОЛ,ЯМБОЛ,ЯМБОЛ
1480,?act=community&do=detail&id=1321&reg_num=1480,Светлина-1896,ГАРА ГАРА БОВ,СВОГЕ,СОФИЯ
1481,?act=community&do=detail&id=1322&reg_num=1481,Пробуда-1921 г.,СЕЛО МИХАЙЛОВО,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1482,?act=community&do=detail&id=2996&reg_num=1482,Светлина-1928,СЕЛО АРНАУТИТО,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1483,?act=community&do=detail&id=1323&reg_num=1483,Просвета-1928,СЕЛО СЛАВОТИН,МОНТАНА,МОНТАНА
1484,?act=community&do=detail&id=1324&reg_num=1484,Иван Кожухаров-1904,СЕЛО БЛАГОЕВО,СТРАЖИЦА,ВЕЛИКО ТЪРНОВО
3661,?act=community&do=detail&id=3690&reg_num=3661,Настроение 2017,ГРАД СТАРА ЗАГОРА,СТАРА ЗАГОРА,СТАРА ЗАГОРА
3662,?act=community&do=detail&id=3691&reg_num=3662,Фазаново - 2017,СЕЛО ФАЗАНОВО,ЦАРЕВО,БУРГАС
3663,?act=community&do=detail&id=3692&reg_num=3663,Йордан Русчев - ДАНКО - 2017,ГРАД СЛИВЕН,СЛИВЕН,СЛИВЕН
3664,?act=community&do=detail&id=3693&reg_num=3664,Преображение - 2017 гр. Бургас,ГРАД БУРГАС,БУРГАС,БУРГАС
3665,?act=community&do=detail&id=3694&reg_num=3665,Балкан Габровци,СЕЛО ГАБРОВЦИ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
3666,?act=community&do=detail&id=3695&reg_num=3666,Светлина - 1929,СЕЛО ЧЕРЕПОВО,ХАРМАНЛИ,ХАСКОВО
3667,?act=community&do=detail&id=3696&reg_num=3667,Бялата лястовица - 2018,ГРАД ДУЛОВО,ДУЛОВО,СИЛИСТРА
3668,?act=community&do=detail&id=3697&reg_num=3668,Христо Ботев 1928,СЕЛО ОСИКОВСКА ЛАКАВИЦА,ПРАВЕЦ,СОФИЯ
3669,?act=community&do=detail&id=3698&reg_num=3669,Светлина 2016,СЕЛО ПЕВЦИТЕ,КАРЛОВО,ПЛОВДИВ
3670,?act=community&do=detail&id=3699&reg_num=3670,Камбаните 2008,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3671,?act=community&do=detail&id=3700&reg_num=3671,Стоманеците - 2018,СЕЛО СТОМАНЕЦИТЕ,ГАБРОВО,ГАБРОВО
3672,?act=community&do=detail&id=3701&reg_num=3672,Проф. Кирил Дженев - 2018,ГРАД ПЛОВДИВ,ПЛОВДИВ,ПЛОВДИВ
3673,?act=community&do=detail&id=3702&reg_num=3673,Стефан Караджа 2018,ГРАД РУСЕ,РУСЕ,РУСЕ
3674,?act=community&do=detail&id=3703&reg_num=3674,Галатея-2018,ГРАД ВАРНА,ВАРНА,ВАРНА
3675,?act=community&do=detail&id=3704&reg_num=3675,Родолюбие-2018,ГРАД ПЛЕВЕН,ПЛЕВЕН,ПЛЕВЕН
3676,?act=community&do=detail&id=3705&reg_num=3676,Тангра-2018,ГРАД ХАСКОВО,ХАСКОВО,ХАСКОВО
3677,?act=community&do=detail&id=3706&reg_num=3677,Кибер читалище - 2019,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3678,?act=community&do=detail&id=3707&reg_num=3678,Бохемия 2018,ГРАД ВАРНА,ВАРНА,ВАРНА
3700,?act=community&do=detail&id=3730&reg_num=3700,Христо Ботев,СЕЛО СВОБОДЕН,РАДНЕВО,СТАРА ЗАГОРА
3701,?act=community&do=detail&id=3731&reg_num=3701,Христо Ботев-2020,СЕЛО МЕТЛИЧИНА,ВЪЛЧИ ДОЛ,ВАРНА
3702,?act=community&do=detail&id=3732&reg_num=3702,Ново начало - 2020,СЕЛО ЗЛАТЕВЦИ,ГАБРОВО,ГАБРОВО
3703,?act=community&do=detail&id=3733&reg_num=3703,Светлина 1922,СЕЛО СКАЛСКО,ДРЯНОВО,ГАБРОВО
3704,?act=community&do=detail&id=3734&reg_num=3704,Пробуждане 2020,СЕЛО СМОЛИЧАНО,НЕВЕСТИНО,КЮСТЕНДИЛ
3705,?act=community&do=detail&id=3735&reg_num=3705,Тротоара 2020,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3706,?act=community&do=detail&id=3736&reg_num=3706,Невена Коканова - 2011,СЕЛО ИГЛИКА,ГАБРОВО,ГАБРОВО
3707,?act=community&do=detail&id=3737&reg_num=3707,Димитър и Константин Миладиновци - Струга  - Рибарско селище Бургас - 2020,ГРАД БУРГАС,БУРГАС,БУРГАС
3708,?act=community&do=detail&id=3738&reg_num=3708,Синева - 2020 - с. Синеморец,СЕЛО СИНЕМОРЕЦ,ЦАРЕВО,БУРГАС
3709,?act=community&do=detail&id=3739&reg_num=3709,Васил Левски - 2020,СЕЛО ДОЛНИ ОКОЛ,САМОКОВ,СОФИЯ
3710,?act=community&do=detail&id=3740&reg_num=3710,Светлина - 2021,ГРАД ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
3711,?act=community&do=detail&id=3741&reg_num=3711,Стоян Досев 2021,СЕЛО БИКОВО,СЛИВЕН,СЛИВЕН
3712,?act=community&do=detail&id=3742&reg_num=3712,Христо Ботев 2021,СЕЛО ПОПИНА,СИТОВО,СИЛИСТРА
3713,?act=community&do=detail&id=3743&reg_num=3713,Ново начало - 2021,СЕЛО НИКОЛОВО,РУСЕ,РУСЕ
3714,?act=community&do=detail&id=3744&reg_num=3714,Ереван 2022,ГРАД БУРГАС,БУРГАС,БУРГАС
3715,?act=community&do=detail&id=3745&reg_num=3715,Просвета 2022,СЕЛО ГОРИЦА,ПОПОВО,ТЪРГОВИЩЕ
3716,?act=community&do=detail&id=3746&reg_num=3716,С Тракия в сърцето - 2021,ГРАД ВАРНА,ВАРНА,ВАРНА
3717,?act=community&do=detail&id=3747&reg_num=3717,Развитие- 2022,СЕЛО ОСЛЕН КРИВОДОЛ,МЕЗДРА,ВРАЦА
3718,?act=community&do=detail&id=3748&reg_num=3718,Благовест Порожанов - 1997,ГРАД КЮСТЕНДИЛ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
3719,?act=community&do=detail&id=3749&reg_num=3719,Пробуждане - 2022,СЕЛО ШИПОЧАНО,КЮСТЕНДИЛ,КЮСТЕНДИЛ
3531,?act=community&do=detail&id=3553&reg_num=3531,Зуница-2012,ГРАД ПЕРНИК,ПЕРНИК,ПЕРНИК
3532,?act=community&do=detail&id=3554&reg_num=3532,Постоянство - 2012,СЕЛО АРМЕНИТЕ,ГАБРОВО,ГАБРОВО
3533,?act=community&do=detail&id=3555&reg_num=3533,Чудомир-2012,СЕЛО ПОПКРАЛЕВО,СИЛИСТРА,СИЛИСТРА
3534,?act=community&do=detail&id=3556&reg_num=3534,Пробуда -2012-Оходен,СЕЛО ОХОДЕН,ВРАЦА,ВРАЦА
3535,?act=community&do=detail&id=3557&reg_num=3535,Народен будител-2012 г.,СЕЛО КРОМИДОВО,ПЕТРИЧ,БЛАГОЕВГРАД
3536,?act=community&do=detail&id=3558&reg_num=3536,Синя светлина-2012,ГРАД ВИДИН,ВИДИН,ВИДИН
3537,?act=community&do=detail&id=3559&reg_num=3537,Стубла-2012 с. Стубел,СЕЛО СТУБЕЛ,МОНТАНА,МОНТАНА
3538,?act=community&do=detail&id=3560&reg_num=3538,Светлина-1926г.,СЕЛО КЕСТЕНОВО,ОМУРТАГ,ТЪРГОВИЩЕ
3539,?act=community&do=detail&id=3561&reg_num=3539,Света Теофана Басараб,ГРАД ВИДИН,ВИДИН,ВИДИН
3540,?act=community&do=detail&id=3562&reg_num=3540,Христо Ботев -1944,СЕЛО АЛЕКСАНДРОВО,СМЯДОВО,ШУМЕН
3541,?act=community&do=detail&id=3563&reg_num=3541,Илинден-2012,СЕЛО БЕЗДЕН,КОСТИНБРОД,СОФИЯ
3542,?act=community&do=detail&id=3564&reg_num=3542,Дръстър 2012,ГРАД СИЛИСТРА,СИЛИСТРА,СИЛИСТРА
3571,?act=community&do=detail&id=3594&reg_num=3571,Народни будители -2013,СЕЛО ДЪЛГО ПОЛЕ,КАЛОЯНОВО,ПЛОВДИВ
3572,?act=community&do=detail&id=3595&reg_num=3572,Торлак - 2013,ГРАД ЦАР КАЛОЯН,ЦАР КАЛОЯН,РАЗГРАД
3573,?act=community&do=detail&id=3596&reg_num=3573,Леонардо Да Винчи-2013,СЕЛО БЕЛАСИЦА,ПЕТРИЧ,БЛАГОЕВГРАД
3574,?act=community&do=detail&id=3597&reg_num=3574,Бурел 2013,СЕЛО ЯЛБОТИНА,ДРАГОМАН,СОФИЯ
3575,?act=community&do=detail&id=3598&reg_num=3575,Пробуда 2014 г.- с. Сопот,СЕЛО СОПОТ,УГЪРЧИН,ЛОВЕЧ
3576,?act=community&do=detail&id=3599&reg_num=3576,Ясна поляна - 2014,ГРАД ВАРНА,ВАРНА,ВАРНА
3577,?act=community&do=detail&id=3600&reg_num=3577,Модерна нация-2013,ГРАД ВАРНА,ВАРНА,ВАРНА
3578,?act=community&do=detail&id=3601&reg_num=3578,Ястреб-2014,СЕЛО СОКОЛИНО,МОМЧИЛГРАД,КЪРДЖАЛИ
3579,?act=community&do=detail&id=3602&reg_num=3579,Георги Бенковски 2013,СЕЛО ЧАВДАР,ДОСПАТ,СМОЛЯН
3580,?act=community&do=detail&id=3603&reg_num=3580,Димитър Ганев - 2014,СЕЛО ПРИСАД,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
3581,?act=community&do=detail&id=3604&reg_num=3581,Бохемия 2012,ГРАД ВАРНА,ВАРНА,ВАРНА
3582,?act=community&do=detail&id=3605&reg_num=3582,Възраждане - 2014,СЕЛО БУЗОВГРАД,КАЗАНЛЪК,СТАРА ЗАГОРА
3583,?act=community&do=detail&id=3606&reg_num=3583,Златоструй - 2014,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3611,?act=community&do=detail&id=3637&reg_num=3611,Месемврия - 2015,ГРАД НЕСЕБЪР,НЕСЕБЪР,БУРГАС
3612,?act=community&do=detail&id=3638&reg_num=3612,Тракия - 2015,ГРАД БУРГАС,БУРГАС,БУРГАС
3613,?act=community&do=detail&id=3639&reg_num=3613,Димитър Пешев - 2014,ГРАД КЮСТЕНДИЛ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
3614,?act=community&do=detail&id=3640&reg_num=3614,Светлина - 2013,СЕЛО БЕГУНЦИ,КАРЛОВО,ПЛОВДИВ
3615,?act=community&do=detail&id=3642&reg_num=3615,Развитие - 2015,ГРАД ВЪРБИЦА,ВЪРБИЦА,ШУМЕН
3616,?act=community&do=detail&id=3643&reg_num=3616,Арсени Костенцев 1980,СЕЛО ИЗГРЕВ,БЛАГОЕВГРАД,БЛАГОЕВГРАД
3617,?act=community&do=detail&id=3644&reg_num=3617,Просвета 1959,СЕЛО ЦРЪНЧА,ДОСПАТ,СМОЛЯН
3618,?act=community&do=detail&id=3645&reg_num=3618,Развитие - 2016 с. Ведраре,СЕЛО ВЕДРАРЕ,КАРЛОВО,ПЛОВДИВ
3619,?act=community&do=detail&id=3646&reg_num=3619,Георги Стойков Раковски - 1942,СЕЛО ПОРУЧИК КЪРДЖИЕВО,КРУШАРИ,ДОБРИЧ
3620,?act=community&do=detail&id=3647&reg_num=3620,Св.Св.Кирил и Методий - 1934,СЕЛО ГОЗДЕЙКА,ДРЯНОВО,ГАБРОВО
3621,?act=community&do=detail&id=3648&reg_num=3621,Надежда - 1927,СЕЛО БЕЛОКОПИТОВО,ШУМЕН,ШУМЕН
3622,?act=community&do=detail&id=3649&reg_num=3622,Марко Ганчев 2016,СЕЛО ЯСТРЕБОВО,ОПАН,СТАРА ЗАГОРА
3623,?act=community&do=detail&id=3650&reg_num=3623,Йордан Йовков 2014,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3491,?act=community&do=detail&id=3501&reg_num=3491,Борба 2010,СЕЛО ДЕДИНА,ЗЛАТАРИЦА,ВЕЛИКО ТЪРНОВО
3492,?act=community&do=detail&id=3502&reg_num=3492,Изгрев -1936,СЕЛО ТЮЛЕНОВО,ШАБЛА,ДОБРИЧ
3493,?act=community&do=detail&id=3513&reg_num=3493,Кирил и Методий,СЕЛО ПИШУРКА,МЕДКОВЕЦ,МОНТАНА
3494,?act=community&do=detail&id=3514&reg_num=3494,Съвремие-2010,ГРАД КОСТИНБРОД,КОСТИНБРОД,СОФИЯ
3495,?act=community&do=detail&id=3516&reg_num=3495,Генерал Георги Тодоров-2011,ГРАД ДУПНИЦА,ДУПНИЦА,КЮСТЕНДИЛ
3496,?act=community&do=detail&id=3517&reg_num=3496,Трептящо сърце-2011,ГРАД ГАБРОВО,ГАБРОВО,ГАБРОВО
3497,?act=community&do=detail&id=3518&reg_num=3497,Св.Св.Кирил и Методий-1936г.,СЕЛО МАНАСТИРСКО,ЛОЗНИЦА,РАЗГРАД
3498,?act=community&do=detail&id=3519&reg_num=3498,Пробуда 2010,СЕЛО КРУША,АВРЕН,ВАРНА
3499,?act=community&do=detail&id=3520&reg_num=3499,Дълбошница 2011,ГРАД ПЕТРИЧ,ПЕТРИЧ,БЛАГОЕВГРАД
3500,?act=community&do=detail&id=3522&reg_num=3500,Правда 2010 с. Горски Сеновец,СЕЛО ГОРСКИ СЕНОВЕЦ,СТРАЖИЦА,ВЕЛИКО ТЪРНОВО
3501,?act=community&do=detail&id=3523&reg_num=3501,Будители 2011,СЕЛО РОСНО,ЗЛАТАРИЦА,ВЕЛИКО ТЪРНОВО
3502,?act=community&do=detail&id=3524&reg_num=3502,Светлина-2011,СЕЛО ЗОРНИЦА,ЧЕПЕЛАРЕ,СМОЛЯН
3679,?act=community&do=detail&id=3708&reg_num=3679,Изгрев 2019,СЕЛО ГОРНА БЕЛА РЕЧКА,ВЪРШЕЦ,МОНТАНА
3680,?act=community&do=detail&id=3709&reg_num=3680,Искра - 2018,СЕЛО ИЗВОРОВО,ХАРМАНЛИ,ХАСКОВО
3681,?act=community&do=detail&id=3710&reg_num=3681,Труд 2019,СЕЛО ТРУД,МАРИЦА,ПЛОВДИВ
3682,?act=community&do=detail&id=3711&reg_num=3682,Наука-2019,СЕЛО ГЪРНАТИ,НЕДЕЛИНО,СМОЛЯН
3683,?act=community&do=detail&id=3712&reg_num=3683,Родопски напредък - 2019 г.,СЕЛО СИТОВО,РОДОПИ,ПЛОВДИВ
3684,?act=community&do=detail&id=3713&reg_num=3684,Възраждане-1929 г.,СЕЛО ЛЕШНИКОВО,ХАРМАНЛИ,ХАСКОВО
3685,?act=community&do=detail&id=3714&reg_num=3685,Просвета-1951 - кв. Златари,ГРАД ГАБРОВО,ГАБРОВО,ГАБРОВО
3686,?act=community&do=detail&id=3715&reg_num=3686,Светлина Столетово 2019,СЕЛО СТОЛЕТОВО,ОПАН,СТАРА ЗАГОРА
3687,?act=community&do=detail&id=3716&reg_num=3687,Европейска България - 2019,ГРАД ДИМИТРОВГРАД,ДИМИТРОВГРАД,ХАСКОВО
3688,?act=community&do=detail&id=3717&reg_num=3688,Будител - 2019,СЕЛО БОРОВО,ГОЦЕ ДЕЛЧЕВ,БЛАГОЕВГРАД
3689,?act=community&do=detail&id=3718&reg_num=3689,Варвара - 2019,СЕЛО ВАРВАРА,ЦАРЕВО,БУРГАС
3690,?act=community&do=detail&id=3719&reg_num=3690,Нова светлина 2019,СЕЛО МРЕЖИЧКО,РУЕН,БУРГАС
3720,?act=community&do=detail&id=3750&reg_num=3720,Победа - 2022,СЕЛО ГОРНА СЕКИРНА,БРЕЗНИК,ПЕРНИК
3721,?act=community&do=detail&id=3751&reg_num=3721,Палитра - 2022,ГРАД ДОБРИЧ,ДОБРИЧ,ДОБРИЧ
3722,?act=community&do=detail&id=3752&reg_num=3722,Искра 1928 с. Круша,СЕЛО КРУША,ДРАГОМАН,СОФИЯ
3723,?act=community&do=detail&id=3753&reg_num=3723,Пауново - 2022,СЕЛО ПАУНОВО,ИХТИМАН,СОФИЯ
3724,?act=community&do=detail&id=3754&reg_num=3724,Енинче 2022,СЕЛО ЕНИНА,КАЗАНЛЪК,СТАРА ЗАГОРА
3725,?act=community&do=detail&id=3755&reg_num=3725,Изкуство 2022,ГРАД ЛОВЕЧ,ЛОВЕЧ,ЛОВЕЧ
3726,?act=community&do=detail&id=3756&reg_num=3726,Пробуда - 2022,СЕЛО ДОЛНО ГОЛЕМАНЦИ,ХАСКОВО,ХАСКОВО
3727,?act=community&do=detail&id=3757&reg_num=3727,Даскал Димо 2022,СЕЛО ДЕДОВО,РОДОПИ,ПЛОВДИВ
3728,?act=community&do=detail&id=3758&reg_num=3728,Просвета - 2023,СЕЛО ВЕЛИКАН,ДИМИТРОВГРАД,ХАСКОВО
3729,?act=community&do=detail&id=3759&reg_num=3729,Емира - ЦИК - 2002,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3730,?act=community&do=detail&id=3760&reg_num=3730,Тестово,СЕЛО БАЛША,СТОЛИЧНА,СОФИЯ-ГРАД
3543,?act=community&do=detail&id=3565&reg_num=3543,Христо Ботев - 2012,СЕЛО БАНОВО,СУВОРОВО,ВАРНА
3544,?act=community&do=detail&id=3566&reg_num=3544,Съзнание -2012,СЕЛО ЯКОВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
3545,?act=community&do=detail&id=3567&reg_num=3545,Мевляна-2012,ГРАД ДОБРИЧ,ДОБРИЧ,ДОБРИЧ
3546,?act=community&do=detail&id=3568&reg_num=3546,Мелдия-2012,ГРАД ДРАГОМАН,ДРАГОМАН,СОФИЯ
3547,?act=community&do=detail&id=3569&reg_num=3547,От Извора - 2013,ГРАД САПАРЕВА БАНЯ,САПАРЕВА БАНЯ,КЮСТЕНДИЛ
3548,?act=community&do=detail&id=3570&reg_num=3548,Светлина - 2012,СЕЛО ТРЪНКОВО,ЕЛХОВО,ЯМБОЛ
3549,?act=community&do=detail&id=3572&reg_num=3549,Св.Св.Кирил и Методий 2013,ГРАД СТАРА ЗАГОРА,СТАРА ЗАГОРА,СТАРА ЗАГОРА
3550,?act=community&do=detail&id=3573&reg_num=3550,Тракия-2013,ГРАД СТАРА ЗАГОРА,СТАРА ЗАГОРА,СТАРА ЗАГОРА
3551,?act=community&do=detail&id=3574&reg_num=3551,Аврора-2012,СЕЛО КИПИЛОВО,КОТЕЛ,СЛИВЕН
3552,?act=community&do=detail&id=3575&reg_num=3552,Генерал Владимир Заимов - 2013,ГРАД КЮСТЕНДИЛ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
3553,?act=community&do=detail&id=3576&reg_num=3553,Ламбриново-2013,СЕЛО ПОЛКОВНИК ЛАМБРИНОВО,СИЛИСТРА,СИЛИСТРА
3554,?act=community&do=detail&id=3577&reg_num=3554,Възраждане-Доброван-2013г.,СЕЛО БАТА,ПОМОРИЕ,БУРГАС
3555,?act=community&do=detail&id=3578&reg_num=3555,Развитие-2013,СЕЛО ОГНЯНОВО,ГЪРМЕН,БЛАГОЕВГРАД
3556,?act=community&do=detail&id=3579&reg_num=3556,Васил Левски -1943 -с. Желязно,СЕЛО ЖЕЛЯЗНО,МАРИЦА,ПЛОВДИВ
3557,?act=community&do=detail&id=3580&reg_num=3557,Тракия-2013 гр. Плевен,ГРАД ПЛЕВЕН,ПЛЕВЕН,ПЛЕВЕН
3558,?act=community&do=detail&id=3581&reg_num=3558,Димитър Данаилов - 2013,ГРАД ЧИРПАН,ЧИРПАН,СТАРА ЗАГОРА
3559,?act=community&do=detail&id=3582&reg_num=3559,Здравец - 2013г.,СЕЛО АЛЕКСАНДРОВО,ПОМОРИЕ,БУРГАС
3584,?act=community&do=detail&id=3607&reg_num=3584,Хемус Партнерс-2013,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3585,?act=community&do=detail&id=3608&reg_num=3585,Европа-2014,СЕЛО МОЩАНЕЦ,БЛАГОЕВГРАД,БЛАГОЕВГРАД
3586,?act=community&do=detail&id=3609&reg_num=3586,Екзарх Стефан - 1872,СЕЛО ШИРОКА ЛЪКА,СМОЛЯН,СМОЛЯН
3587,?act=community&do=detail&id=3610&reg_num=3587,Култура-2014,ГРАД ПЛЕВЕН,ПЛЕВЕН,ПЛЕВЕН
3588,?act=community&do=detail&id=3611&reg_num=3588,Светлина -2014,СЕЛО РОСЕН,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
3589,?act=community&do=detail&id=3612&reg_num=3589,Бай Здравчо -1923,СЕЛО УШИ,ТРЕКЛЯНО,КЮСТЕНДИЛ
3590,?act=community&do=detail&id=3613&reg_num=3590,Възраждане-2013,ГРАД РУДОЗЕМ,РУДОЗЕМ,СМОЛЯН
3591,?act=community&do=detail&id=3614&reg_num=3591,Победа 1941 година,СЕЛО ГОРИЧАНЕ,ШАБЛА,ДОБРИЧ
3592,?act=community&do=detail&id=3615&reg_num=3592,Делиорман 2014 г.,ГРАД РАЗГРАД,РАЗГРАД,РАЗГРАД
3593,?act=community&do=detail&id=3616&reg_num=3593,Добростан-2014,СЕЛО ДОБРОСТАН,АСЕНОВГРАД,ПЛОВДИВ
3594,?act=community&do=detail&id=3617&reg_num=3594,Веда Словена 2014,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3595,?act=community&do=detail&id=3618&reg_num=3595,Никола Й. Вапцаров - 2014,СЕЛО ТОПОЛНИЦА,ПЕТРИЧ,БЛАГОЕВГРАД
3596,?act=community&do=detail&id=3619&reg_num=3596,Хамалогика 2014,ГРАД БУРГАС,БУРГАС,БУРГАС
3597,?act=community&do=detail&id=3620&reg_num=3597,Съгласие-2014,СЕЛО БЛЪСКОВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
3598,?act=community&do=detail&id=3621&reg_num=3598,Иван Вазов-2014,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3599,?act=community&do=detail&id=3622&reg_num=3599,НЧ Читалище.то-2014 г.,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3600,?act=community&do=detail&id=3623&reg_num=3600,Пролет-2014,СЕЛО ДЛЪГНЕВО,ДИМИТРОВГРАД,ХАСКОВО
3601,?act=community&do=detail&id=3624&reg_num=3601,Богатово - 2015,СЕЛО ГУРМАЗОВО,БОЖУРИЩЕ,СОФИЯ
3624,?act=community&do=detail&id=3651&reg_num=3624,Възраждане 1919,СЕЛО БЕЛОМЪЖИТЕ,ГАБРОВО,ГАБРОВО
3625,?act=community&do=detail&id=3652&reg_num=3625,Граничар - 2016,СЕЛО ГЕНЕРАЛОВО,СВИЛЕНГРАД,ХАСКОВО
3626,?act=community&do=detail&id=3653&reg_num=3626,Уилям Сароян 2016,ГРАД ШУМЕН,ШУМЕН,ШУМЕН
3627,?act=community&do=detail&id=3654&reg_num=3627,Напредък - 1884,СЕЛО КЕРЕКА,ДРЯНОВО,ГАБРОВО
3628,?act=community&do=detail&id=3655&reg_num=3628,Просвета - 1915,СЕЛО КАРЛИЕВО,ЗЛАТИЦА,СОФИЯ
3629,?act=community&do=detail&id=3656&reg_num=3629,Светлина - 2016,СЕЛО ДЖИГУРОВО,САНДАНСКИ,БЛАГОЕВГРАД
3630,?act=community&do=detail&id=3657&reg_num=3630,Пробуда - 2016г.,СЕЛО БАНЯ,НЕСЕБЪР,БУРГАС
3631,?act=community&do=detail&id=3658&reg_num=3631,Елин Пелин - Мусагеница 2016,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3632,?act=community&do=detail&id=3659&reg_num=3632,Съзнание - 1944,СЕЛО ЗЕЛЕН ДОЛ,БЛАГОЕВГРАД,БЛАГОЕВГРАД
3633,?act=community&do=detail&id=3660&reg_num=3633,Бяла Анаста - 2016,ГРАД ЛОВЕЧ,ЛОВЕЧ,ЛОВЕЧ
3634,?act=community&do=detail&id=3661&reg_num=3634,Селски труд 1906,СЕЛО ЯЛОВО,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
3635,?act=community&do=detail&id=3662&reg_num=3635,Георги Сава Раковски 1927,СЕЛО РУЖИЦА,НИКОЛА КОЗЛЕВО,ШУМЕН
3636,?act=community&do=detail&id=3663&reg_num=3636,Колю Фичето - 2016,СЕЛО ТУРКИНЧА,ДРЯНОВО,ГАБРОВО
3637,?act=community&do=detail&id=3664&reg_num=3637,Майор Векилски - 2016,СЕЛО ВЕКИЛСКИ,НИКОЛА КОЗЛЕВО,ШУМЕН
3638,?act=community&do=detail&id=3665&reg_num=3638,Стралджа - 2016,ГРАД СТРАЛДЖА,СТРАЛДЖА,ЯМБОЛ
3639,?act=community&do=detail&id=3667&reg_num=3639,Ромски таланти - 2016,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
3640,?act=community&do=detail&id=3668&reg_num=3640,Бъдеще сега 2006,СЕЛО ГУДЕВИЦА - МАХАЛА В С. АРДА,СМОЛЯН,СМОЛЯН
3641,?act=community&do=detail&id=3669&reg_num=3641,Момчилова крепост - 2016,СЕЛО ГРАДЪТ,СМОЛЯН,СМОЛЯН
3642,?act=community&do=detail&id=3670&reg_num=3642,Миролюбие - 2015,СЕЛО ГАБЪРНИЦА,ВЕТРИНО,ВАРНА
3503,?act=community&do=detail&id=3525&reg_num=3503,Боатин-2011,СЕЛО ДИВЧОВОТО,ТЕТЕВЕН,ЛОВЕЧ
3504,?act=community&do=detail&id=3526&reg_num=3504,Константин В. Заеков 1935,СЕЛО КАСИЛАГ,РАДОМИР,ПЕРНИК
3505,?act=community&do=detail&id=3527&reg_num=3505,Тракия с. Ефрем 2011г.,СЕЛО ЕФРЕМ,МАДЖАРОВО,ХАСКОВО
3506,?act=community&do=detail&id=3528&reg_num=3506,Христо Ботев -1925 г. с. Михилци,СЕЛО МИХИЛЦИ,ХИСАРЯ,ПЛОВДИВ
3507,?act=community&do=detail&id=3529&reg_num=3507,Кутловица-2011г.,ГРАД МОНТАНА,МОНТАНА,МОНТАНА
3508,?act=community&do=detail&id=3530&reg_num=3508,Корита 2011,СЕЛО КОРИТАТА,РУДОЗЕМ,СМОЛЯН
3509,?act=community&do=detail&id=3531&reg_num=3509,Асен Златаров-1941 год.,СЕЛО ПОЛКОВНИК ИВАНОВО,ДОБРИЧКА,ДОБРИЧ
3510,?act=community&do=detail&id=3532&reg_num=3510,Тодор Рачински - 2011,СЕЛО ПЕТЛЕШКОВО,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
3511,?act=community&do=detail&id=3533&reg_num=3511,Сеяч-1924 г.,СЕЛО СИРАКОВО,МИНЕРАЛНИ БАНИ,ХАСКОВО
3512,?act=community&do=detail&id=3534&reg_num=3512,Христо Ботев-1942г.,СЕЛО МИЛАДИНОВЦИ,ДОБРИЧКА,ДОБРИЧ
3513,?act=community&do=detail&id=3535&reg_num=3513,Столипиново чете-2011,ГРАД ПЛОВДИВ,ПЛОВДИВ,ПЛОВДИВ
3514,?act=community&do=detail&id=3536&reg_num=3514,Нов път-2011,СЕЛО ДОБРИЧ,ДИМИТРОВГРАД,ХАСКОВО
3515,?act=community&do=detail&id=3537&reg_num=3515,Пейо Яворов-2012,СЕЛО СЛАТИНА,СИТОВО,СИЛИСТРА
